,country,log_likelihood,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
193,NRU,3.2342720896648562,24,52.26537172722249,1.1806640625,1,1
194,WLF,2.5313034827372634,39,55.82833819769999,1.208984375,1,1
195,ITA,0.3223980311542017,35,53.50045583631083,1.2587890625,1,1
196,ISR,1.066124288067745,37,56.37759243373395,1.2744140625,1,1
197,HUN,0.7987944423111244,44,55.128556095553684,1.3115234375,1,1
198,SVK,0.5893866370398819,23,52.63222291251104,1.34765625,1,1
199,NOR,1.0200560660222582,38,54.864000308335086,1.3857421875,1,1
200,DNK,0.7120524298867694,51,56.06988610054872,1.3955078125,1,1
201,CAN,0.6310953318908716,29,55.090936408047746,1.4052734375,1,1
202,SGP,1.5063518590949485,32,56.01959348281594,1.46484375,1,1
203,ASM,1.9248784526129044,36,52.198370813165575,1.4677734375,1,1
204,S19,1.1234349468516736,30,57.30651856668771,1.4736328125,1,1
205,SVN,0.38698883651834404,40,55.70428602293167,1.482421875,1,1
206,RUS,1.7317227286826364,36,53.93109043567189,1.4970703125,1,1
207,KOR,0.7285638022353608,37,56.71109668248969,1.505859375,1,1
208,IRL,1.4491829946503254,52,55.076631418722215,1.5712890625,1,1
209,NLD,0.5952695658695746,52,55.30511619276773,1.6025390625,1,1
210,FRA,0.3093490977102212,49,53.57664063808367,1.6298828125,1,1
211,CZE,0.40153386793201334,47,55.7300072971723,1.72265625,1,1
212,BEL,0.34341895223415614,45,56.94165530486512,1.740234375,1,1
213,LUX,1.0150738306411526,43,54.99538370624211,1.7529296875,1,1
214,AUT,0.43173199347897634,53,54.707598758557864,1.8154296875,1,1
215,GBR,0.5015465675725478,38,54.249727056359475,1.91015625,1,1
216,USA,0.3722447419859758,42,54.0248842335894,1.9599609375,1,1
217,FIN,0.782461519976732,41,56.52950704189973,2.052734375,1,1
218,CHE,0.5146238119812274,35,55.354011097611334,2.146484375,1,1
219,SWE,0.44290887409211466,30,56.66936777478121,2.185546875,1,1
220,DEU,0.3626846654859318,52,55.46124289361331,2.32421875,1,1
221,JPN,0.5485514860726225,54,56.05970180499554,2.435546875,1,1
